Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
06/06/24,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,,None,"Navient Solutions, LLC.",CA,95826,None,Consent not provided,Web,06/06/24,Closed with explanation,Yes,N/A,9195743
09/13/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,I went to the XXXX XXXX XXXX XXXXXXXX from XXXX. I have not been contacted about loan forgiveness and now Navient is trying to transfer my loan to a new company so they don't have to clear the loan like the court order told them to do. I was not only scammed by the art institute but also Salie Mae as well as Navient who are now trying to transfer the loan instead of canceling it out.,None,"Navient Solutions, LLC.",PA,15068,None,Consent provided,Web,09/13/24,Closed with explanation,Yes,N/A,10116956
05/24/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,"Thousands of students were scammed by Navient into taking out predatory private loans to attend for profit online schools such as the one I attended, XXXX XXXX  XXXX XXXX XXXX XXXXXXXX. When I attended the school, I was pressured to take out so many loans every semester and for amounts ranging {$6000.00} to {$25000.00} a SEMESTER! I have over {$100000.00} in student loans and no idea where that money went, because now the AI is CLOSED and all my "" credits '' aren't transferring for me to get my masters. Because of my loans all defaulting due to NAVIENT NOT WORKING WITH ME ever, I know can't get an aid to go to school to get a REAL degree. Every time you call about your loans, they make me hold for hours and then tell me I have two options and NEITHER are do able. {$3000.00} a month for a loan payment is unmanageable. And the longer I'm not paying on these the HIGHER this interest goes. XXXX XXXX XXXX XXXX XXXX XXXX XXXX due to the stress of this situation, I can't get a home to live in - no mortgage, NO CAR, I can't get anything. These loans are ruining my life. All because I was pressured at a young age to get ridiculous amounts of loans some of which I didn't even need all that. 
Because of the numerous claims of fraud and misconduct perpetrated by these online for profit schools, such as XXXX, I was able to file a Borrower Defense claim with the Dept. of Education against XXXX  XXXX XXXX XXXX, and my Fed. loans of ( {$22000.00} ) were discharged and my credit repaired.

My Borrower Defense Claim was also part of the Sweet Vs. Cardona settlement for which I was a full class member.

I am aware that Navient was sued by 39 state AGs regarding their predatory loans to attend these online for-profit schools and that Sallie Mae/Navient were a "" preferred '' lending company in a "" deal '' with these schools during the early 2000 's. These private loans with a high risk of default were part of a package deal offered to "" for profit online schools ''. But loans made to students in states outside of the agreement, or those who were not in default for 7 months or more during a "" specific '' time frame, were excluded. I am sure this was a big win for Navient, but what a sham of a settlement deal for the rest of borrowers scammed into taking loans to at least 150 for profit online schools. After the AG settlement, didn't Navient also get out of the Federal student loan business due to scrutiny from lawmakers and borrower advocates? Didn't Navient have to pay restitution to the Federal student loan borrowers for not informing students of IDR/IBR payments students could have enrolled in, but instead steered toward forbearance? Furthermore, hasn't Navient been sued at least a half dozen times for other predatory loan practices and illegal collection practices? 
I am also aware of a "" pilot '' program by which Navient is sending out "" applications '' to select students who may have filed Borrower Defense claims against their schools and were approved. This application is a sham. Why do we need to prove anything? Navient knows who we are. Under the FTC "" Holder Rule '' Navient is liable for giving predatory loans in connection with online for-profit schools. Time is running out for Navient to do right by students who were scammed into taking out private loans to attend online for profit colleges who have committed misconduct and misrepresented themselves to the public to entice students to enroll. XXXX XXXX XXXX has sent a letter to Navient 's CEO asking to discharge these loans NOW! It's time Navient do the right thing and discharge all these predatory private loans made to attend online for profit schools NOW! 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX",None,"Navient Solutions, LLC.",IL,601XX,None,Consent provided,Web,05/24/24,Closed with explanation,Yes,N/A,9090717
06/28/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,"I have two Signature loans with Navient. Both are private student loans. Loan # XXXX ending in XXXX issued on XX/XX/XXXX and loan # XXXX ending in XXXX issued on XX/XX/XXXX. Both loans were issued to XXXX XXXX XXXX XXXX now named XXXX XXXX XXXXXXXX has been listed as a for profit XXXX  that has been deemed by the court of law as operating under misconduct. Due to that judgement the courts have awarded the victimized students of predatory lending the discharge of their student loans. ( Both federal and private ) I have contacted Navient on two occasions XX/XX/XXXX and XX/XX/XXXX. 

I received an application for loan discharge due to XXXX  misconduct after multiple attempts. My XXXX  misled me about my likelihood of obtaining a job, misrepresented its job placement rates and my likely earnings after graduation. I've submitted all of the required information and received notification on Sunday, XX/XX/XXXX that my request for private loan discharge was denied. I've contacted Navient on two occasions Tuesday XX/XX/XXXX and Wednesday XX/XX/XXXX at XXXX XXXX to request an appeal. Navient has not responded. Please help!",None,"Navient Solutions, LLC.",GA,30319,None,Consent provided,Web,06/28/24,Closed with explanation,Yes,N/A,9377424
04/11/24,Student loan,Private student loan,Getting a loan,High pressure sales tactics or recruiting,,None,"Navient Solutions, LLC.",NJ,08848,None,Consent not provided,Web,04/11/24,Closed with explanation,Yes,N/A,8752461
08/08/24,Student loan,Private student loan,Dealing with your lender or servicer,Problem with customer service,I filed a Application for School Misconduct based on the findings of the US Department of Education investigation clearly showing there was misconduct with XXXX XXXXXXXX XXXX and Sallie Mae now Navient. I received a denial letter despite evidence provided by the US Department of Education showing cause for actions.,None,"Navient Solutions, LLC.",TX,77346,None,Consent provided,Web,08/08/24,Closed with explanation,Yes,N/A,9732803
04/28/24,Student loan,Private student loan,Getting a loan,High pressure sales tactics or recruiting,,None,"Navient Solutions, LLC.",CA,95382,None,Consent not provided,Web,04/28/24,Closed with explanation,Yes,N/A,8875989
03/30/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,"There is no option to make a principal only payment on my Navient student loan. When I pay online, I see no option to make a principal-only payment. So either Navient has none and is violating the rules on prepayment penalties or they expect me to call them everytime I want to make a principal only payment. I borrowed {$25000.00} in 2001 for law school. The interest which has accrued and has been paid on this loan is {$46000.00}. Yet, they say I still owe over {$32000.00}. This is usurious to say the least but my complaint is that there should be a button I can literally press online to say I want to make a principal only payment and there is not. They make it literally harder for people to get out of debt. This needs to be addressed. At the rate I am making my payment, I won't be able to pay the debt off for another 9 years. The interest on my loan is currently 11 %. It is outrageous. That is unacceptable. They need to have a principal only option online payment option.",None,"Navient Solutions, LLC.",TX,77449,None,Consent provided,Web,03/30/24,Closed with explanation,Yes,N/A,8659280
10/26/24,Student loan,Private student loan,Getting a loan,Confusing or misleading advertising,,None,"Navient Solutions, LLC.",GA,30046,None,Consent not provided,Web,10/26/24,Closed with explanation,Yes,N/A,10588818
03/09/24,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,,None,"Navient Solutions, LLC.",CA,92211,None,Consent not provided,Web,03/09/24,Closed with explanation,Yes,N/A,8512868
08/01/24,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,I submitted my School Misconduct Application on XX/XX/year> - after working on it for several weeks. I attended XXXX XXXX XXXX XXXX XXXXXXXX from XXXX. I gather all the information I could find of the fraud/misconduct/and lawsuits the school had been through over the last two decades. I did not have a lot of personal emails to submit because that was not information I still had available after all these years. I explained my story and experience from attending the school and my application was denied without a sufficient explanation of why. I feel Navient should describe in full detail what my application was missing that caused it to be denied.,None,"Navient Solutions, LLC.",NC,27616,None,Consent provided,Web,08/01/24,Closed with explanation,Yes,N/A,9668860
07/09/24,Student loan,Federal student loan servicing,Incorrect information on your report,Old information reappears or never goes away,,None,"Navient Solutions, LLC.",CA,90813,None,Consent not provided,Web,07/09/24,Closed with explanation,Yes,N/A,9455965
03/20/24,Student loan,Private student loan,Getting a loan,High pressure sales tactics or recruiting,,None,"Navient Solutions, LLC.",MN,55045,None,Consent not provided,Web,03/20/24,Closed with explanation,Yes,N/A,8589125
09/23/24,Student loan,Private student loan,Dealing with your lender or servicer,Problem with customer service,,None,"Navient Solutions, LLC.",GA,30214,None,Consent not provided,Web,09/23/24,Closed with explanation,Yes,N/A,10220254
07/20/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,,None,"Navient Solutions, LLC.",None,XXXXX,None,Consent not provided,Web,07/20/24,Closed with explanation,Yes,N/A,9566617
12/21/24,Student loan,Private student loan,Dealing with your lender or servicer,Problem with customer service,"On XX/XX/year> around XXXX, Navient called my wife and revealed to her the balance of my loans and what I owed past due. I've never given them her information, nor have I given them any special permission to share any of my information. She is not a co-signer and this debt was accrued before we were even in a relationship. Navient has been taken over by XXXX now, and now XXXX is calling my wife repeatedly. I found out my loans were transferred to XXXX because my wife got a call from them telling me my loans were past due and they asked for my SSN from her, which she gave them.",None,"Navient Solutions, LLC.",IN,46845,None,Consent provided,Web,12/21/24,Closed with explanation,Yes,N/A,11229256
09/22/24,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,"I was XXXX XXXX XXXX just trying to go to college when I was forced to sign paperwork and told a bunch a lies at the first school I went look at which was XXXX XXXX. They told me all the nice things that they wanted me to hear and told me that I would only have federal loans, but I didnt end up with just federal loans I had private loans as well and didnt notice until I got older. Looking back, I signed paperwork that I didnt even get a chance to read because they snatch it back so fast. My program at the school was a scam, they took the program away from us and had us go to another program which really wasnt a good fit for me. Next thing I know Im XXXX almost XXXX XXXX XXXX with all this debt that is so hard to pay back when I was used by this school as well as many others. My federal loans has been discharge due to the fraudulent behavior by this school, but my private loans have not. Navient denied my application. Its so hard to find a place to stay or even do things I want to do with all of this hanging over my head. I just want these loans to go away so I dont have to spend the rest of my life struggling and stressed out.",None,"Navient Solutions, LLC.",LA,700XX,None,Consent provided,Web,09/22/24,Closed with explanation,Yes,N/A,10208204
05/16/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,,None,"Navient Solutions, LLC.",MN,55116,None,Consent not provided,Web,05/16/24,Closed with explanation,Yes,N/A,9029385
